name_2,name_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,map_image,name_3_clean,jakarta_region,rainfall_soil_interaction,elevation_risk,vegetation_elevation_risk,extreme_weather,monsoon_season,urban_density_risk
jakarta selatan,pasarminggu,73.289,134.179,37.6,35.89,Built-up,0.267,0.23,41.65,2020,2,1,-6.2908,106.8293,RGB_PasarMinggu2020.tif,pasarminggu,Jakarta Selatan,5588.55535,0.027107617240444564,0.019869883437245866,1,1,2.221212121212121
jakarta selatan,pesanggrahan,75.891,139.758,39.24,23.82,Built-up,0.233,0.178,40.06,2020,2,0,-6.2504,106.7587,RGB_Pesanggrahan2020.tif,pesanggrahan,Jakarta Selatan,5598.7054800000005,0.040290088638195005,0.030902497985495568,1,1,2.7589928057553954
jakarta selatan,setiabudi,76.029,142.462,37.24,17.99,Built-up,0.167,0.133,38.81,2020,2,1,-6.2196,106.83,RGB_Setiabudi2020.tif,setiabudi,Jakarta Selatan,5528.95022,0.05265929436545551,0.04386519220642444,1,1,3.5751072961373387
jakarta selatan,tebet,73.07,137.246,30.35,17.948,Built-up,0.138,0.137,38.81,2020,2,1,-6.2289,106.8509,RGB_Tebet2020.tif,tebet,Jakarta Selatan,5326.5172600000005,0.05277601857715854,0.04549292801351066,1,1,3.6371308016877633
jakarta timur,cakung,78.474,156.775,29.72,7.969,Built-up,0.193,0.102,38.81,2020,2,1,-6.1885,106.9409,RGB_Cakung2020.tif,cakung,Jakarta Timur,6084.437750000001,0.11149514996097669,0.08997658601850818,1,1,3.9950495049504946
jakarta timur,cipayung,70.689,128.832,30.02,48.413,Built-up,0.267,0.257,41.65,2020,2,1,-6.3253,106.9036,RGB_Cipayung_2020(1).tif,cipayung,Jakarta Timur,5365.8528,0.02023758929836278,0.014834152955699917,1,1,2.0532212885154064
jakarta timur,ciracas,69.289,124.238,30.02,53.48,Built-up,0.223,0.263,41.65,2020,2,1,-6.3339,106.8784,RGB_Ciracas2020.tif,ciracas,Jakarta Timur,5174.5127,0.018355359765051395,0.014262114537444935,1,1,2.1404958677685952
jakarta timur,durensawit,74.823,147.6,29.47,16.888,Built-up,0.132,0.139,38.849,2020,2,1,-6.2325,106.9206,RGB_DurenSawit2020.tif,durensawit,Jakarta Timur,5734.112399999999,0.05590339892665473,0.04852415026833631,1,1,3.631799163179916
jakarta timur,jatinegara,71.995,135.352,30.35,18.159,Built-up,0.131,0.126,38.81,2020,2,1,-6.2273,106.8774,RGB_Jatinegara2020.tif,jatinegara,Jakarta Timur,5253.01112,0.05219479095986221,0.04535727334412026,1,1,3.8451327433628317
jakarta timur,kramatjati,67.548,127.34,30.02,30.295,Built-up,0.163,0.152,41.389,2020,2,1,-6.2763,106.8654,RGB_Cakung2020.tif,kramatjati,Jakarta Timur,5270.47526,0.031953986259785905,0.0267454864994408,1,1,3.321428571428571
jakarta timur,makasar,69.207,131.31,30.02,25.658,Built-up,0.236,0.16,41.032,2020,2,1,-6.2663,106.8911,RGB_Makasar2020.tif,makasar,Jakarta Timur,5387.91192,0.037512191462225224,0.028659314277140073,1,1,2.9384615384615382
jakarta timur,matraman,73.601,140.31,30.89,12.702,Built-up,0.152,0.132,38.81,2020,2,1,-6.2036,106.8645,RGB_Matraman2020.tif,matraman,Jakarta Timur,5445.431100000001,0.07298204641658153,0.06188877536126113,1,1,3.655172413793103
jakarta timur,pasarrebo,69.411,125.664,30.02,48.623,Built-up,0.207,0.252,41.65,2020,2,1,-6.3264,106.8573,RGB_Cakung2020.tif,pasarrebo,Jakarta Timur,5233.9056,0.020151945670354474,0.0159804929165911,1,1,2.252840909090909
jakarta timur,pulogadung,76.753,150.277,29.67,10.47,Built-up,0.187,0.136,38.81,2020,2,1,-6.1932,106.889,RGB_Cakung2020.tif,pulogadung,Jakarta Timur,5832.25037,0.08718395815170009,0.07088055797733217,1,1,3.4449152542372876
jakarta pusat,cempakaputih,79.111,157.324,31.3,8.401,Built-up,0.194,0.095,38.81,2020,2,0,-6.1809,106.8681,RGB_CempakaPutih2020.tif,cempakaputih,Jakarta Pusat,6105.74444,0.10637166258908627,0.08573556004680354,1,1,4.133333333333334
jakarta pusat,gambir,74.436,137.894,31.44,7.605,Built-up,0.136,0.061,38.81,2020,2,0,-6.1715,106.8181,RGB_Gambir2020.tif,gambir,Jakarta Pusat,5351.66614,0.11621150493898895,0.10040674026728645,1,1,5.366459627329192
jakarta pusat,joharbaru,79.088,157.227,31.39,8.969,Built-up,0.165,0.076,38.81,2020,2,0,-6.1821,106.8546,RGB_JoharBaru2020.tif,joharbaru,Jakarta Pusat,6101.97987,0.10031096398836394,0.08375965493028388,1,1,4.744318181818182
jakarta pusat,kemayoran,78.361,153.872,31.91,6.168,Built-up,0.191,0.103,38.81,2020,2,0,-6.1627,106.8558,RGB_Kemayoran2020.tif,kemayoran,Jakarta Pusat,5971.772320000001,0.13950892857142858,0.11286272321428571,1,1,3.9852216748768465
jakarta pusat,menteng,74.572,138.848,30.45,10.741,Built-up,0.136,0.099,38.81,2020,2,0,-6.1958,106.8353,RGB_Menteng2020.tif,menteng,Jakarta Pusat,5388.690880000001,0.08517162081594414,0.07358828038497574,1,1,4.341708542713568
jakarta pusat,sawahbesar,79.548,144.55,31.44,7.059,Built-up,0.152,0.09,38.81,2020,2,0,-6.1539,106.8332,RGB_SawahBesar2020.tif,sawahbesar,Jakarta Pusat,5609.985500000001,0.12408487405385282,0.10522397319766719,1,1,4.463157894736842
jakarta pusat,senen,76.59,147.176,32.15,10.007,Built-up,0.13,0.092,38.81,2020,2,0,-6.1842,106.8459,RGB_Senen2020.tif,senen,Jakarta Pusat,5711.90056,0.09085127646043427,0.07904061052057781,1,1,4.53125
jakarta pusat,tanahabang,75.735,141.066,31.44,12.45,Built-up,0.189,0.13,38.81,2020,2,0,-6.2054,106.8094,RGB_TanahAbang2020.tif,tanahabang,Jakarta Pusat,5474.771460000001,0.07434944237918216,0.060297397769516724,1,1,3.5260869565217385
